0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:18:29 +0900] "GET /resources/css/event_page1.css HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:18:29 +0900] "GET /resources/images/bambam.png HTTP/1.1" 200 229015
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:18:29 +0900] "GET /event/resources/js/header.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:19:28 +0900] "GET /communitylist.do HTTP/1.1" 200 5894
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:19:28 +0900] "GET /resources/js/header.js HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:19:29 +0900] "GET /event/eventlist.jsp HTTP/1.1" 200 6615
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:19:29 +0900] "GET /event/resources/css/bootstrap.css HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:19:29 +0900] "GET /resources/images/%EA%B2%A8%EC%9A%B8%EC%84%ACmini.png HTTP/1.1" 200 11331
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:19:29 +0900] "GET /resources/images/event_img11.png HTTP/1.1" 200 60427
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:19:29 +0900] "GET /event/resources/js/header.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:19:29 +0900] "GET /resources/images/%ED%8A%B8%EB%A6%AC2.png HTTP/1.1" 200 136277
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:19:32 +0900] "GET /main.jsp HTTP/1.1" 200 12686
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:19:34 +0900] "GET /users/loginform.jsp HTTP/1.1" 200 2716
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:19:34 +0900] "GET /resources/css/login.css HTTP/1.1" 200 2998
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:19:36 +0900] "GET /users/adminlogin.jsp HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:19:36 +0900] "GET /resources/css/admin_login.css HTTP/1.1" 200 2439
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:19:41 +0900] "POST /j_security_check HTTP/1.1" 408 947
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:19:41 +0900] "POST /j_security_check HTTP/1.1" 408 947
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:19:41 +0900] "POST /j_security_check HTTP/1.1" 408 947
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:19:41 +0900] "POST /j_security_check HTTP/1.1" 408 947
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:19:41 +0900] "POST /j_security_check HTTP/1.1" 408 947
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:19:41 +0900] "POST /j_security_check HTTP/1.1" 408 947
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:19:51 +0900] "GET /users/loginform.jsp HTTP/1.1" 200 2716
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:20:28 +0900] "GET /users/joinform.do HTTP/1.1" 200 5653
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:20:28 +0900] "GET /resources/js/jquery-3.7.1.js HTTP/1.1" 200 296030
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:20:28 +0900] "GET /resources/css/join.css HTTP/1.1" 200 3352
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:20:33 +0900] "GET /users/checkId?id=yddk920 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:21:33 +0900] "GET /users/loginform.jsp HTTP/1.1" 200 2716
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:21:40 +0900] "POST /login.do HTTP/1.1" 200 12892
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:50:59 +0900] "GET /userview.do?id=ubin HTTP/1.1" 200 4807
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:50:59 +0900] "GET /resources/css/userviewstyle.css HTTP/1.1" 200 1184
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:50:59 +0900] "GET /resources/js/header.js HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:51:23 +0900] "GET /updateuserform.do?id=ubin HTTP/1.1" 200 7361
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:51:23 +0900] "GET /resources/js/header.js HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:51:23 +0900] "GET /resources/css/updatestyle.css HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:52:44 +0900] "GET /communitylist.do HTTP/1.1" 200 6127
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:52:44 +0900] "GET /resources/js/header.js HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:52:48 +0900] "GET /communitylist.do?field=title&kw=gd HTTP/1.1" 200 6129
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:52:48 +0900] "GET /resources/js/header.js HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:53:19 +0900] "GET /communitylist.do?field=title&kw=gd HTTP/1.1" 200 6129
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:53:19 +0900] "GET /resources/js/header.js HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:53:20 +0900] "GET /communitylist.do?field=title&kw=gd HTTP/1.1" 200 6129
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:53:20 +0900] "GET /resources/js/header.js HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:57:30 +0900] "GET /communitylist.do?field=title&kw=gd HTTP/1.1" 200 6129
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:57:30 +0900] "GET /resources/js/header.js HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:57:32 +0900] "GET /communitylist.do HTTP/1.1" 200 6127
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:57:32 +0900] "GET /resources/js/header.js HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:57:33 +0900] "GET /communitylist.do HTTP/1.1" 200 6127
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:57:33 +0900] "GET /resources/js/header.js HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:57:48 +0900] "GET /main.jsp HTTP/1.1" 200 12892
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:57:49 +0900] "GET /communitylist.do HTTP/1.1" 200 6127
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:57:49 +0900] "GET /resources/js/header.js HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:57:57 +0900] "GET /communityview.do?review_no=1 HTTP/1.1" 200 6782
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:57:57 +0900] "GET /communityview.do?review_no=1 HTTP/1.1" 200 6782
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:57:57 +0900] "GET /communityview.do?review_no=1 HTTP/1.1" 200 6782
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:57:57 +0900] "GET /communityview.do?review_no=1 HTTP/1.1" 200 6782
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:58:00 +0900] "GET /communitylist.do HTTP/1.1" 200 5914
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:58:00 +0900] "GET /resources/js/header.js HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:59:30 +0900] "GET /writeform.do HTTP/1.1" 200 4312
0:0:0:0:0:0:0:1 - - [07/Apr/2024:17:59:30 +0900] "GET /resources/css/writeform.css HTTP/1.1" 200 4041
